runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0827T154457Z_wGawaf,a9a,5,0.001,2.0,8,32,4096,1,1,512,0.9923295215511672,0.9923295215511672
0827T160020Z_sLFHDv,a9a,0,0.001,2.0,1,256,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T153433Z_FadXtu,a9a,2,0.001,0.01,1,2,4096,1,1,512,0.6416645551151797,0.5814217881125755
0827T162314Z_KKLuND,a9a,2,0.001,0.1,8,128,4096,1,1,512,0.3370982772208953,0.3370982772208953
0827T162225Z_xwMsL0,a9a,2,0.001,0.1,1,8,4096,1,1,512,0.7276774253859667,0.6362277510328003
0827T160558Z_enGdCl,a9a,0,0.001,0.02,2048,32,4096,1,1,512,0.3980992187780212,0.3980992187780212
0827T145353Z_EQjbT1,a9a,2,0.001,0.05,8,4,4096,1,1,512,0.3494045359107414,0.3483211317260394
0827T154415Z_OdumWp,a9a,5,0.001,0.02,8,64,4096,1,1,512,0.397480337791433,0.397480337791433
0827T154155Z_CY6BGD,a9a,5,0.001,2.0,2,32,4096,1,1,512,1.3385492473010454,1.1451013886529824
0827T153309Z_lnAgbG,a9a,5,0.001,0.02,4,2,4096,1,1,512,0.3969233685840636,0.3969233685840636
0827T153924Z_GrG5DQ,a9a,5,0.001,0.002,1,256,4096,1,1,512,0.6967947698880742,0.6967947698880742
0827T154242Z_0uCh1o,a9a,5,0.001,0.02,4,1,4096,1,1,512,0.3968904102542744,0.3968904102542744
0827T155345Z_XGfLb5,a9a,5,0.001,0.1,2048,8,4096,1,1,512,0.3456587777571165,0.3456587777571165
0827T154454Z_PZ97rw,a9a,5,0.001,2.0,8,2,4096,1,1,512,0.8090726906922504,0.5290318663597947
0827T155300Z_JzSjPL,a9a,5,0.001,5.0,2048,1,4096,1,1,512,0.5874827261588904,0.5162759275407354
0827T160047Z_ixTUl6,a9a,0,0.001,0.002,8,64,4096,1,1,512,0.6984666499556449,0.6984666499556449
0827T160054Z_GMD5D3,a9a,0,0.001,0.001,8,128,4096,1,1,512,0.7787151864601173,0.7787151864601173
0827T154019Z_liq2cO,a9a,5,0.001,1.0,1,256,4096,1,1,512,1.0677920576892523,1.0677920576892523
0827T154819Z_3DlgFb,a9a,5,0.001,0.2,1,8,4096,1,1,512,0.4196268830276824,0.4196268830276824
0827T154957Z_zYZIRL,a9a,5,0.001,1.0,8,128,4096,1,1,512,0.5653160864859544,0.5653160864859544
0827T145252Z_H4vMZZ,a9a,1,0.001,0.01,4,4,4096,1,1,512,0.374966528175348,0.374966528175348
0827T160640Z_mJfdwH,a9a,0,0.001,5.0,2048,32,4096,1,1,512,1.9561432055334875,1.1451013886529906
0827T160010Z_nEOeth,a9a,0,0.001,0.1,1,128,4096,1,1,512,0.4043773921493431,0.3693385436755494
0827T161158Z_3EbOhv,a9a,1,0.001,0.02,8,8,4096,1,1,512,0.349050789833683,0.3446275140614876
0827T154417Z_W9eSfh,a9a,5,0.001,0.02,8,256,4096,1,1,512,0.3974648157745444,0.3974648157745444
0827T154136Z_2R6kG0,a9a,5,0.001,0.2,2,256,4096,1,1,512,0.3651959085085235,0.3651959085085235
0827T161303Z_3phSTJ,a9a,1,0.001,0.1,256,32,4096,1,1,512,0.3344912510855476,0.3339298718557144
0827T154049Z_TJk7kX,a9a,5,0.001,0.002,2,4,4096,1,1,512,0.6960084349709155,0.6960084349709155
0827T161130Z_FrKf2y,a9a,1,0.001,0.01,1,32,4096,1,1,512,0.4027298213096026,0.4006729235878812
0827T161137Z_rt8oXK,a9a,1,0.001,0.1,1,64,4096,1,1,512,0.5140400096296525,0.4336531210360069
0827T151600Z_l9i3uF,a9a,1,0.001,0.02,4,1,4096,1,1,512,0.5864730996652552,0.4551840096000752
0827T151553Z_ZZoT7r,a9a,1,0.001,0.01,8,2,4096,1,1,512,0.3595489610451365,0.350796830004062
0827T161207Z_j0GuAk,a9a,1,0.001,0.002,8,64,4096,1,1,512,0.4417056627452625,0.4406685305342304
0827T154011Z_Uj06w3,a9a,5,0.001,0.5,1,128,4096,1,1,512,0.5804601497153012,0.5804601497153012
0827T151515Z_JtRM22,a9a,0,0.001,0.01,4,1,4096,1,1,512,0.459409812264179,0.459409812264179
0827T163242Z_N6vIwD,a9a,2,0.001,0.1,2048,256,4096,1,1,512,0.3378076154120611,0.3378076154120611
0827T162218Z_qrvaYg,a9a,2,0.001,0.01,1,1,4096,1,1,512,1.0723548638303495,0.7370593041770035
0827T154450Z_pqwCAO,a9a,5,0.001,1.0,8,64,4096,1,1,512,0.5501524030268531,0.5501524030268531
0827T154004Z_c2lzpo,a9a,5,0.001,0.2,1,64,4096,1,1,512,0.4196268830276824,0.4141279244972544
0827T151641Z_sJlVsu,a9a,2,0.001,0.05,1,2,4096,1,1,512,1.752858343958282,0.94492054071185
0827T161208Z_U9ZN3Y,a9a,1,0.001,0.01,8,64,4096,1,1,512,0.3485756828432764,0.3485756828432764
0827T153937Z_GmxdTc,a9a,5,0.001,0.01,1,128,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T161119Z_WFczTP,a9a,1,0.001,0.01,1,1,4096,1,1,512,2.2355597348256606,1.1451013886529824
0827T162253Z_b2grZk,a9a,2,0.001,0.001,8,8,4096,1,1,512,0.4605941277822481,0.4605941277822481
0827T153913Z_SayfsP,a9a,5,0.001,0.001,1,2,4096,1,1,512,0.777914316671372,0.777914316671372
0827T141559Z_3ZxYiV,a9a,0,0.001,0.01,1,2,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T154022Z_dBNbXU,a9a,5,0.001,2.0,1,8,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T154345Z_WZH3kt,a9a,5,0.001,0.001,8,4,4096,1,1,512,0.778713648978381,0.778713648978381
0827T160048Z_BsUo2W,a9a,0,0.001,0.01,8,64,4096,1,1,512,0.4609671977558364,0.4609671977558364
0827T162310Z_gB6vqR,a9a,2,0.001,0.001,8,128,4096,1,1,512,0.5323081691567693,0.5323081691567693
0827T153459Z_5AdCT3,a9a,2,0.001,0.05,2,4,4096,1,1,512,0.4713911764177503,0.4473475932823361
0827T154842Z_KHa58T,a9a,5,0.001,2.0,1,1,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T161239Z_EDUSGh,a9a,1,0.001,0.001,256,8,4096,1,1,512,0.3629587224551445,0.3629587224551445
0827T143118Z_jq5I2w,a9a,0,0.001,0.05,8,1,4096,1,1,512,0.3597711653599145,0.3597711653599145
0827T155402Z_x1DqxI,a9a,5,0.001,1.0,2048,8,4096,1,1,512,0.427903717572587,0.427903717572587
0827T154329Z_HIICl4,a9a,5,0.001,5.0,4,1,4096,1,1,512,1.819071704555804,1.1451013886529824
0827T151613Z_2pDWuH,a9a,1,0.001,0.05,4,2,4096,1,1,512,0.5411640641412072,0.4937735620396353
0827T154418Z_FsOd5Q,a9a,5,0.001,0.05,8,1,4096,1,1,512,0.3597350037061657,0.3597350037061657
0827T151621Z_vVhGz7,a9a,2,0.001,0.01,2,2,4096,1,1,512,0.4376400568866705,0.4214778167962671
0827T154248Z_RuFKuv,a9a,5,0.001,0.05,4,1,4096,1,1,512,0.3620177185169868,0.3620177185169868
0827T143101Z_fVuvym,a9a,0,0.001,0.02,1,4,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T160456Z_wilF7S,a9a,0,0.001,0.2,2048,8,4096,1,1,512,0.3383677595358761,0.3383677595358761
0827T154137Z_sT5DuE,a9a,5,0.001,0.5,2,1,4096,1,1,512,0.4817374867794855,0.4142355922569302
0827T151623Z_ZvrxfP,a9a,2,0.001,0.01,4,1,4096,1,1,512,0.409063404591005,0.409063404591005
0827T162254Z_qSWXyD,a9a,2,0.001,0.002,8,8,4096,1,1,512,0.3833294728787295,0.3833294728787295
0827T161213Z_xSUqIQ,a9a,1,0.001,0.002,8,128,4096,1,1,512,0.4346300118835498,0.4338246430661809
0827T161222Z_7U6drC,a9a,1,0.001,0.2,8,256,4096,1,1,512,0.3431151574239282,0.3431151574239282
0827T160912Z_5LHR5W,a9a,0,0.001,5.0,2048,128,4096,1,1,512,2.3990488757575297,1.1451013886529906
0827T143208Z_G5FJBB,a9a,2,0.001,0.02,1,2,4096,1,1,512,1.027504625345856,0.6667746695397841
0827T154444Z_HLBueS,a9a,5,0.001,0.5,8,128,4096,1,1,512,0.3888290790346232,0.3888290790346232
0827T161128Z_iJwPYa,a9a,1,0.001,0.001,1,32,4096,1,1,512,0.4620875998134795,0.4460128327289756
0827T162222Z_bGoiFd,a9a,2,0.001,0.002,1,8,4096,1,1,512,0.4291537515377351,0.4291537515377351
0827T154857Z_zHEsyM,a9a,5,0.001,2.0,1,32,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T161043Z_q4THy5,a9a,1,0.001,0.2,1,1,4096,1,1,512,17.088023451694173,1.1451013886529824
0827T151612Z_Koyyoa,a9a,1,0.001,0.05,4,1,4096,1,1,512,0.6216501302980878,0.6216501302980878
0827T142212Z_7gr78o,a9a,0,0.001,0.01,8,1,4096,1,1,512,0.4608268260382995,0.4608268260382995
0827T151535Z_TkNca2,a9a,0,0.001,0.05,2,1,4096,1,1,512,0.363739538921115,0.363739538921115
0827T143053Z_kVf4k1,a9a,0,0.001,0.01,2,2,4096,1,1,512,0.4561949210029508,0.4561949210029508
0827T161152Z_jxIIKH,a9a,1,0.001,0.02,8,1,4096,1,1,512,0.3922592036243118,0.3922592036243118
0827T143112Z_LdlQme,a9a,0,0.001,0.05,2,1,4096,1,1,512,0.363739538921115,0.363739538921115
0827T153453Z_a06NQ1,a9a,2,0.001,0.02,8,4,4096,1,1,512,0.3444785886416954,0.3444785886416954
0827T160046Z_tjhkZf,a9a,0,0.001,0.001,8,64,4096,1,1,512,0.7787092010595934,0.7787092010595934
0827T153328Z_o4dHDo,a9a,0,0.001,0.01,2,1,4096,1,1,512,0.4561726461717078,0.4561726461717078
0827T151557Z_iLq6r1,a9a,1,0.001,0.02,1,4,4096,1,1,512,0.9873030506128704,0.7147762941809167
0827T151608Z_pm630Q,a9a,1,0.001,0.05,1,4,4096,1,1,512,1.9930578217103367,1.0494253799537798
0827T162236Z_bnd1l8,a9a,2,0.001,0.2,1,64,4096,1,1,512,0.4763234935803158,0.4327145998873609
0827T161251Z_MTC86v,a9a,1,0.001,0.2,256,8,4096,1,1,512,0.3363624359280779,0.3347636553953536
0827T161103Z_VNTZda,a9a,1,0.001,5.0,1,32,4096,1,1,512,6.220391452915815,1.1451013886529824
0827T145336Z_rZBRuV,a9a,2,0.001,0.02,2,4,4096,1,1,512,0.4114712687215773,0.4046038598140811
0827T161343Z_MYVw1M,a9a,1,0.001,0.02,256,256,4096,1,1,512,0.3506872514789996,0.3506872514789996
0827T162245Z_DnVx2s,a9a,2,0.001,0.1,1,256,4096,1,1,512,0.3987554987817152,0.3687334179241128
0827T155101Z_WqrJQ9,a9a,5,0.001,0.01,256,64,4096,1,1,512,0.4627445006325715,0.4627445006325715
0827T154428Z_eiUXnG,a9a,5,0.001,0.1,8,8,4096,1,1,512,0.3467420396950361,0.3467420396950361
0827T154849Z_R3QaW9,a9a,5,0.001,1.0,1,8,4096,1,1,512,1.0677920576892523,1.0677920576892523
0827T161211Z_6RyjFO,a9a,1,0.001,0.2,8,64,4096,1,1,512,0.3510801579935713,0.3510801579935713
0827T161319Z_P9t23p,a9a,1,0.001,0.2,256,64,4096,1,1,512,0.338081365886263,0.3366383608681429
0827T154856Z_imD0sv,a9a,5,0.001,1.0,1,32,4096,1,1,512,1.0677920576892523,1.0677920576892523
0827T143213Z_01XfEQ,a9a,2,0.001,0.02,4,2,4096,1,1,512,0.3987008877174914,0.3956641565195322
0827T160404Z_XeQHx6,a9a,0,0.001,5.0,2048,1,4096,1,1,512,0.5982135734555492,0.5162759275407354
0827T151650Z_SECWGq,a9a,2,0.001,0.05,8,2,4096,1,1,512,0.3647748543511785,0.3559923459326203
0827T162306Z_L5jsgq,a9a,2,0.001,0.01,8,64,4096,1,1,512,0.3759776893191137,0.3759776893191137
0827T145334Z_86ZUdJ,a9a,2,0.001,0.02,2,1,4096,1,1,512,0.864128370938407,0.583422801706559
0827T154445Z_JRM528,a9a,5,0.001,0.5,8,256,4096,1,1,512,0.3980190740518544,0.3980190740518544
0827T145325Z_4zhT1S,a9a,2,0.001,0.01,4,1,4096,1,1,512,0.409063404591005,0.409063404591005
0827T161148Z_xamGmV,a9a,1,0.001,0.2,1,256,4096,1,1,512,0.4513682414222094,0.4110678104065807
0827T161338Z_F08fLr,a9a,1,0.001,0.002,256,256,4096,1,1,512,0.4382440908941109,0.4382440908941109
0827T154320Z_7ihd0Y,a9a,5,0.001,1.0,4,64,4096,1,1,512,0.6737868286716027,0.6737868286716027
0827T154143Z_c6HbGu,a9a,5,0.001,0.5,2,128,4096,1,1,512,0.5545063700230911,0.4506076593680421
0827T160136Z_0wctnv,a9a,0,0.001,0.2,256,8,4096,1,1,512,0.3384530760919056,0.3384530760919056
0827T154225Z_Q6nXrP,a9a,5,0.001,0.002,4,64,4096,1,1,512,0.6983847548060264,0.6983847548060264
0827T162219Z_47XxCd,a9a,2,0.001,0.1,1,1,4096,1,1,512,2.879993962396713,1.1451013886529824
0827T160057Z_fOJb1a,a9a,0,0.001,0.02,8,128,4096,1,1,512,0.3975235071606957,0.3975235071606957
0827T153410Z_9AK75w,a9a,1,0.001,0.02,1,2,4096,1,1,512,1.9611381423155376,1.0917267710533416
0827T160027Z_W0pxR1,a9a,0,0.001,0.2,8,1,4096,1,1,512,0.342629217710012,0.342629217710012
0827T162232Z_W6Hdw1,a9a,2,0.001,0.002,1,64,4096,1,1,512,0.4313265489055036,0.4300295311937488
0827T153306Z_GvfldN,a9a,5,0.001,0.02,2,2,4096,1,1,512,0.3955243958933911,0.3955243958933911
0827T145341Z_7O3LwC,a9a,2,0.001,0.02,8,4,4096,1,1,512,0.3444785886416954,0.3444785886416954
0827T155813Z_vnlaz3,a9a,5,0.001,5.0,2048,128,4096,1,1,512,2.49717724727201,1.1451013886529906
0827T145235Z_qkKMNN,a9a,0,0.001,0.05,2,1,4096,1,1,512,0.363739538921115,0.363739538921115
0827T154929Z_tKDekf,a9a,5,0.001,0.001,8,8,4096,1,1,512,0.7787112754164678,0.7787112754164678
0827T143141Z_qTZGMN,a9a,1,0.001,0.02,8,1,4096,1,1,512,0.3922592036243118,0.3922592036243118
0827T154039Z_qCvPYf,a9a,5,0.001,10.0,1,256,4096,1,1,512,14.416213265644435,1.1451013886529824
0827T162551Z_nWAHnA,a9a,2,0.001,0.1,2048,1,4096,1,1,512,0.3335560512560572,0.333530889832929
0827T155438Z_lduDeC,a9a,5,0.001,0.002,2048,32,4096,1,1,512,0.700003756832912,0.700003756832912
0827T162256Z_enKU18,a9a,2,0.001,0.02,8,8,4096,1,1,512,0.3424650214982452,0.3398529737611261
0827T161317Z_W9TWrd,a9a,1,0.001,0.1,256,64,4096,1,1,512,0.3345781106213131,0.3341636384108151
0827T145305Z_gc8KVV,a9a,1,0.001,0.02,4,4,4096,1,1,512,0.4093471183527182,0.3894882211766566
0827T154852Z_l5ZTjn,a9a,5,0.001,0.001,1,32,4096,1,1,512,0.777914316671372,0.777914316671372
0827T154048Z_dBvcvt,a9a,5,0.001,0.002,2,2,4096,1,1,512,0.6960102756819625,0.6960102756819625
0827T160039Z_ghAaXU,a9a,0,0.001,0.002,8,32,4096,1,1,512,0.698465622539514,0.698465622539514
0827T162731Z_G5CWHt,a9a,2,0.001,0.2,2048,8,4096,1,1,512,0.3343922311018688,0.3339639774782657
0827T161331Z_EFK0V4,a9a,1,0.001,0.1,256,128,4096,1,1,512,0.3347571748722936,0.3347571748722936
0827T160203Z_qZzDJf,a9a,0,0.001,0.01,256,64,4096,1,1,512,0.4627334619432288,0.4627334619432288
0827T153912Z_IegNBT,a9a,5,0.001,0.001,1,1,4096,1,1,512,0.777914316671372,0.777914316671372
0827T154329Z_CJDM3i,a9a,5,0.001,2.0,4,256,4096,1,1,512,1.3136741935837335,1.1451013886529824
0827T160103Z_xxBrlN,a9a,0,0.001,0.002,8,256,4096,1,1,512,0.6985276514031512,0.6985276514031512
0827T154341Z_NCqc26,a9a,5,0.001,10.0,4,64,4096,1,1,512,7.540828382287496,1.1451013886529824
0827T154859Z_aEdT3L,a9a,5,0.001,0.002,1,64,4096,1,1,512,0.6967947698880742,0.6967947698880742
0827T155110Z_oHErx3,a9a,5,0.001,2.0,256,64,4096,1,1,512,0.9895576953111068,0.8955777659030026
0827T153451Z_D7onGp,a9a,2,0.001,0.02,8,1,4096,1,1,512,0.3720566687890589,0.3581282209749247
0827T154024Z_e8zIcG,a9a,5,0.001,2.0,1,64,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T151512Z_VXBbQG,a9a,0,0.001,0.01,1,4,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T162308Z_eTWI5A,a9a,2,0.001,0.1,8,64,4096,1,1,512,0.3370676354817378,0.3370676354817378
0827T162225Z_Ye8iuq,a9a,2,0.001,0.2,1,8,4096,1,1,512,1.0010017996144165,0.8193374879202516
0827T154243Z_0uqcFr,a9a,5,0.001,0.02,4,2,4096,1,1,512,0.3969233685840636,0.3969233685840636
0827T155045Z_pIrkel,a9a,5,0.001,0.01,256,32,4096,1,1,512,0.4626915126006429,0.4626915126006429
0827T153457Z_mmAjRv,a9a,2,0.001,0.05,2,1,4096,1,1,512,1.118584645864575,0.678896472814759
0827T162246Z_wndrYV,a9a,2,0.001,0.2,1,256,4096,1,1,512,0.4280007540042844,0.395815557093048
0827T151626Z_SCxS6N,a9a,2,0.001,0.01,8,1,4096,1,1,512,0.361164265261862,0.3552259502235276
0827T154437Z_qrKmOt,a9a,5,0.001,0.2,8,128,4096,1,1,512,0.3439012985256977,0.3439012985256977
0827T153327Z_firvFJ,a9a,0,0.001,0.01,1,2,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T153338Z_B80HgN,a9a,0,0.001,0.02,1,4,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T154944Z_J9kiGo,a9a,5,0.001,5.0,8,32,4096,1,1,512,2.4778469676208528,1.1451013886529824
0827T154108Z_tYvGlA,a9a,5,0.001,0.02,2,1,4096,1,1,512,0.3955791438306097,0.3955791438306097
0827T160813Z_5T9CZ8,a9a,0,0.001,0.002,2048,128,4096,1,1,512,0.7000102202824564,0.7000102202824564
0827T154115Z_hVv7as,a9a,5,0.001,0.05,2,1,4096,1,1,512,0.3636903054596919,0.3636903054596919
0827T160033Z_wjtVUm,a9a,0,0.001,0.02,8,8,4096,1,1,512,0.3972238561317688,0.3972238561317688
0827T154846Z_jKeip6,a9a,5,0.001,0.01,1,8,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T153400Z_652Wmq,a9a,1,0.001,0.01,2,1,4096,1,1,512,0.7330021210849818,0.6611249670000381
0827T154952Z_zabxKp,a9a,5,0.001,0.001,8,128,4096,1,1,512,0.778715991580611,0.778715991580611
0827T143149Z_Xuj4U9,a9a,1,0.001,0.05,2,4,4096,1,1,512,0.809213504730392,0.5897929302063252
0827T154346Z_VuCqIF,a9a,5,0.001,0.001,8,8,4096,1,1,512,0.7787112754164678,0.7787112754164678
0827T155822Z_Mrn3H6,a9a,5,0.001,0.001,2048,256,4096,1,1,512,0.7796711754928526,0.7796711754928526
0827T154847Z_ZAQy7O,a9a,5,0.001,0.02,1,8,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T162402Z_NdYjXM,a9a,2,0.001,0.1,256,32,4096,1,1,512,0.334096475138023,0.3339454447354221
0827T151524Z_GGHjcf,a9a,0,0.001,0.02,2,1,4096,1,1,512,0.3955707553489438,0.3955707553489438
0827T154853Z_uHKGdZ,a9a,5,0.001,0.01,1,32,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T154906Z_BKCAKm,a9a,5,0.001,0.002,1,128,4096,1,1,512,0.6967947698880742,0.6967947698880742
0827T153411Z_ZhPMNv,a9a,1,0.001,0.02,1,4,4096,1,1,512,0.9873030506128704,0.7147762941809167
0827T154104Z_BViIm1,a9a,5,0.001,0.01,2,8,4096,1,1,512,0.4560993505725486,0.4560993505725486
0827T160847Z_pbXI7Y,a9a,0,0.001,0.2,2048,128,4096,1,1,512,0.3418128874703106,0.3418128874703106
0827T160124Z_OxmmzF,a9a,0,0.001,2.0,256,1,4096,1,1,512,0.3344606545065624,0.3344606545065624
0827T154505Z_AdJhps,a9a,5,0.001,5.0,8,64,4096,1,1,512,2.110677750229045,1.1451013886529824
0827T154220Z_bzHYx5,a9a,5,0.001,0.001,4,256,4096,1,1,512,0.7794746294250557,0.7794746294250557
0827T154855Z_Pkh3Be,a9a,5,0.001,0.1,1,32,4096,1,1,512,0.4043773921493431,0.4043773921493431
0827T162327Z_D9tPJe,a9a,2,0.001,0.01,256,1,4096,1,1,512,0.3341995001656763,0.3338584858863356
0827T154114Z_LPhMa2,a9a,5,0.001,0.02,2,256,4096,1,1,512,0.3955757682106618,0.3955757682106618
0827T160723Z_RXeBRB,a9a,0,0.001,0.1,2048,64,4096,1,1,512,0.3460762312869188,0.3460762312869188
0827T162223Z_04154A,a9a,2,0.001,0.01,1,8,4096,1,1,512,0.4418295429553245,0.4418295429553245
0827T162852Z_vaSIqm,a9a,2,0.001,0.2,2048,32,4096,1,1,512,0.3359119632879513,0.3352224297331209
0827T155134Z_Un93Xf,a9a,5,0.001,0.02,256,256,4096,1,1,512,0.3986650222489603,0.3986650222489603
0827T160100Z_aKg1lL,a9a,0,0.001,2.0,8,128,4096,1,1,512,1.1214238132580103,0.9089744420668192
0827T160658Z_fho4oa,a9a,0,0.001,0.002,2048,64,4096,1,1,512,0.7000062712230732,0.7000062712230732
0827T154919Z_jSLKjJ,a9a,5,0.001,5.0,1,256,4096,1,1,512,7.080776499722578,1.1451013886529824
0827T154455Z_Dd96Ra,a9a,5,0.001,2.0,8,4,4096,1,1,512,0.7829073732996494,0.772315143273909
0827T153934Z_xUUxSo,a9a,5,0.001,0.01,1,4,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T162428Z_sBu352,a9a,2,0.001,0.02,256,128,4096,1,1,512,0.3579073525594374,0.3579073525594374
0827T153447Z_qUKfhz,a9a,2,0.001,0.02,2,2,4096,1,1,512,0.4585649601278861,0.4585649601278861
0827T162439Z_YNIkVS,a9a,2,0.001,0.01,256,256,4096,1,1,512,0.3980513235462917,0.3980513235462917
0827T161225Z_w6MQU0,a9a,1,0.001,0.002,256,1,4096,1,1,512,0.3339760829102302,0.3338612900866227
0827T154905Z_lkBsnT,a9a,5,0.001,5.0,1,64,4096,1,1,512,7.080776499722578,1.1451013886529824
0827T151546Z_slkGCC,a9a,1,0.001,0.01,2,1,4096,1,1,512,0.7330021210849818,0.6611249670000381
0827T161054Z_11PyWI,a9a,1,0.001,5.0,1,8,4096,1,1,512,13.300064049311668,1.1451013886529824
0827T154937Z_lVuWpU,a9a,5,0.001,0.001,8,32,4096,1,1,512,0.7787140393605838,0.7787140393605838
0827T154839Z_ZeU5Bo,a9a,5,0.001,0.02,1,1,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T154429Z_soEeVD,a9a,5,0.001,0.1,8,64,4096,1,1,512,0.3470220313907851,0.3470220313907851
0827T160706Z_Kpmleo,a9a,0,0.001,0.01,2048,64,4096,1,1,512,0.4625423925911718,0.4625423925911718
0827T160140Z_GfAuFL,a9a,0,0.001,2.0,256,8,4096,1,1,512,0.5893958177368798,0.5379448102690768
0827T161647Z_Lg9dbi,a9a,1,0.001,0.001,2048,32,4096,1,1,512,0.4474091636123827,0.4474091636123827
0827T155641Z_1c1m6y,a9a,5,0.001,1.0,2048,64,4096,1,1,512,0.5465186772914572,0.5036458106211099
0827T153353Z_MvsTuk,a9a,0,0.001,0.05,4,2,4096,1,1,512,0.3620343439619046,0.3620343439619046
0827T162411Z_RrbGVn,a9a,2,0.001,0.01,256,64,4096,1,1,512,0.3715770952177475,0.3715770952177475
0827T153307Z_0t1rRl,a9a,5,0.001,0.02,2,4,4096,1,1,512,0.3955462742097428,0.3955462742097428
0827T154051Z_sJAbAj,a9a,5,0.001,0.002,2,32,4096,1,1,512,0.696002922356108,0.696002922356108
0827T155119Z_08sxGy,a9a,5,0.001,0.02,256,128,4096,1,1,512,0.3985922306765369,0.3985922306765369
0827T154934Z_6UUPWo,a9a,5,0.001,0.2,8,8,4096,1,1,512,0.3418589945678735,0.3418589945678735
0827T154112Z_QjtHJ4,a9a,5,0.001,0.02,2,32,4096,1,1,512,0.3955542368487633,0.3955542368487633
0827T162920Z_5Q7liB,a9a,2,0.001,0.002,2048,64,4096,1,1,512,0.4370687947939588,0.4370687947939588
0827T154348Z_08Jbb0,a9a,5,0.001,0.001,8,128,4096,1,1,512,0.778715991580611,0.778715991580611
0827T160345Z_AnLJSv,a9a,0,0.001,1.0,2048,1,4096,1,1,512,0.3335244014661632,0.3334736466089372
0827T160201Z_Gsg7Tl,a9a,0,0.001,0.002,256,64,4096,1,1,512,0.6999210629699535,0.6999210629699535
0827T154311Z_5VnB9N,a9a,5,0.001,0.5,4,4,4096,1,1,512,0.4004822456696492,0.3790034320463946
0827T154819Z_y7IYvg,a9a,5,0.001,1.0,1,8,4096,1,1,512,1.0677920576892523,1.0677920576892523
0827T153354Z_sriv6k,a9a,0,0.001,0.05,4,4,4096,1,1,512,0.3621734968126928,0.3621734968126928
0827T160532Z_pn4iv2,a9a,0,0.001,0.001,2048,32,4096,1,1,512,0.7796699646817133,0.7796699646817133
0827T154036Z_SYDkSs,a9a,5,0.001,10.0,1,8,4096,1,1,512,14.416213265644435,1.1451013886529824
0827T154246Z_qKNVaV,a9a,5,0.001,0.02,4,64,4096,1,1,512,0.3970178100261737,0.3970178100261737
0827T161329Z_PsxOjV,a9a,1,0.001,0.02,256,128,4096,1,1,512,0.3420673147015321,0.3420673147015321
0827T145317Z_Ypbzrl,a9a,1,0.001,0.05,8,1,4096,1,1,512,0.4941360826155755,0.4364889620989699
0827T154953Z_mFFUTL,a9a,5,0.001,0.002,8,128,4096,1,1,512,0.6984860200324262,0.6984860200324262
0827T161135Z_1EZI5r,a9a,1,0.001,0.01,1,64,4096,1,1,512,0.3840621387328333,0.3840621387328333
0827T160118Z_KHKNwN,a9a,0,0.001,0.1,256,1,4096,1,1,512,0.3455557977612208,0.3455557977612208
0827T143130Z_dOdh1p,a9a,1,0.001,0.01,8,1,4096,1,1,512,0.3808415755503713,0.3654915201614034
0827T151604Z_OZMfu8,a9a,1,0.001,0.02,8,2,4096,1,1,512,0.3709677195686932,0.3619508181450491
0827T145349Z_F2pV9H,a9a,2,0.001,0.05,4,2,4096,1,1,512,0.4589799319600294,0.4087524095135258
0827T154001Z_u1fReD,a9a,5,0.001,0.2,1,4,4096,1,1,512,0.4196268830276824,0.4051390251210895
0827T160107Z_aBAr6H,a9a,0,0.001,1.0,8,256,4096,1,1,512,0.5853620424108746,0.5830707331330769
0827T154357Z_py2zcC,a9a,5,0.001,0.005,8,1,4096,1,1,512,0.5605045561851952,0.5605045561851952
0827T161216Z_8pduoN,a9a,1,0.001,0.2,8,128,4096,1,1,512,0.3472082528750268,0.3472082528750268
0827T145242Z_X2BrWv,a9a,0,0.001,0.05,8,2,4096,1,1,512,0.359745871139357,0.359745871139357
0827T154250Z_4AomsK,a9a,5,0.001,0.05,4,4,4096,1,1,512,0.3624068046039349,0.3624068046039349
0827T154253Z_nbwc6D,a9a,5,0.001,0.05,4,64,4096,1,1,512,0.3626139589818377,0.3626139589818377
0827T160114Z_hY4KEG,a9a,0,0.001,0.01,256,1,4096,1,1,512,0.4625961006435907,0.4625961006435907
