runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0827T145250Z_9gw0I5,a9a,1,0.001,0.01,4,2,4096,1,1,512,0.4137861157774584,0.3925115073265753
0827T154442Z_iEpEFb,a9a,5,0.001,0.5,8,32,4096,1,1,512,0.3791672117365813,0.3791672117365813
0827T151641Z_Rw82o2,a9a,2,0.001,0.05,1,1,4096,1,1,512,1.573990081755252,1.1451013886529824
0827T154052Z_wLKus4,a9a,5,0.001,0.002,2,64,4096,1,1,512,0.6959973450423433,0.6959973450423433
0827T154817Z_5OXpOe,a9a,5,0.001,0.02,1,8,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T154836Z_9sxAGi,a9a,5,0.001,0.001,1,1,4096,1,1,512,0.777914316671372,0.777914316671372
0827T161221Z_bJYL4g,a9a,1,0.001,0.1,8,256,4096,1,1,512,0.3378094671569461,0.3378094671569461
0827T161201Z_daoEdD,a9a,1,0.001,0.001,8,32,4096,1,1,512,0.4529064735320861,0.4529064735320861
0827T161619Z_U5SA4N,a9a,1,0.001,0.1,2048,8,4096,1,1,512,0.3336538162799204,0.333472363082884
0827T160056Z_VBLAKT,a9a,0,0.001,0.01,8,128,4096,1,1,512,0.4610226239264698,0.4610226239264698
0827T153331Z_hbWgIM,a9a,0,0.001,0.01,4,1,4096,1,1,512,0.459409812264179,0.459409812264179
0827T145346Z_kUHoIK,a9a,2,0.001,0.05,2,2,4096,1,1,512,0.6561849517745907,0.5708292639809142
0827T145243Z_x6C0I4,a9a,1,0.001,0.01,1,1,4096,1,1,512,2.2355597348256606,1.1451013886529824
0827T154809Z_S9kdj7,a9a,5,0.001,0.02,1,1,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T143203Z_vjj65B,a9a,2,0.001,0.01,4,4,4096,1,1,512,0.3565305851840996,0.3499917841175272
0827T161157Z_HIAYeS,a9a,1,0.001,0.01,8,8,4096,1,1,512,0.3466300727173419,0.3448587245426565
0827T151625Z_W0XHlb,a9a,2,0.001,0.01,4,4,4096,1,1,512,0.3565305851840996,0.3499917841175272
0827T160001Z_9O1iA4,a9a,0,0.001,0.01,1,64,4096,1,1,512,0.4590995036525556,0.4590995036525556
0827T163202Z_NcBCHx,a9a,2,0.001,0.002,2048,256,4096,1,1,512,0.506449385658985,0.506449385658985
0827T160414Z_h5riMa,a9a,0,0.001,0.001,2048,8,4096,1,1,512,0.7796698439571139,0.7796698439571139
0827T161038Z_knlZlR,a9a,1,0.001,0.001,1,1,4096,1,1,512,0.9963603783091112,0.5191202809566954
0827T153941Z_zO0WV1,a9a,5,0.001,0.02,1,8,4096,1,1,512,0.4035973378482793,0.4035973378482793
0827T162906Z_7pDoLv,a9a,2,0.001,0.001,2048,64,4096,1,1,512,0.4751528846405431,0.4751528846405431
0827T145227Z_WveQo7,a9a,0,0.001,0.02,4,1,4096,1,1,512,0.3968806690073462,0.3968806690073462
0827T154359Z_Y6ojnw,a9a,5,0.001,0.005,8,4,4096,1,1,512,0.5605040477031971,0.5605040477031971
0827T155241Z_uDU70H,a9a,5,0.001,1.0,2048,1,4096,1,1,512,0.3414084793038521,0.3363432166900827
0827T154506Z_FAHDBU,a9a,5,0.001,5.0,8,128,4096,1,1,512,2.7548075702667574,1.1451013886529824
0827T154944Z_QvjqVz,a9a,5,0.001,0.001,8,64,4096,1,1,512,0.7787106883639441,0.7787106883639441
0827T155050Z_Iebj8Q,a9a,5,0.001,0.2,256,32,4096,1,1,512,0.3405194246047194,0.3405194246047194
0827T145244Z_Kp2vaR,a9a,1,0.001,0.01,1,2,4096,1,1,512,1.114637649147061,0.7480952853275085
0827T155957Z_O8J2C0,a9a,0,0.001,1.0,1,32,4096,1,1,512,1.0677920576892523,0.9206310976213796
0827T145329Z_1JRSq2,a9a,2,0.001,0.01,8,2,4096,1,1,512,0.346588316331046,0.346588316331046
0827T161138Z_ZMcv9X,a9a,1,0.001,0.2,1,64,4096,1,1,512,0.5494131445241954,0.508314358786669
0827T145352Z_uYYhcw,a9a,2,0.001,0.05,8,2,4096,1,1,512,0.3647748543511785,0.3559923459326203
0827T154850Z_FPjRN8,a9a,5,0.001,2.0,1,8,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T145337Z_iVY9w3,a9a,2,0.001,0.02,4,1,4096,1,1,512,0.4439487918343668,0.4122963209769146
0827T154422Z_GEJeGX,a9a,5,0.001,0.05,8,64,4096,1,1,512,0.3599637911079195,0.3599637911079195
0827T143200Z_reeXZ6,a9a,2,0.001,0.01,2,4,4096,1,1,512,0.4053424472519553,0.4029968916610528
0827T162217Z_3dOsDx,a9a,2,0.001,0.002,1,1,4096,1,1,512,0.6239235706378722,0.5561778933275595
0827T154248Z_EteVBb,a9a,5,0.001,0.02,4,256,4096,1,1,512,0.3970731022547314,0.3970731022547314
0827T154356Z_NJj8Wh,a9a,5,0.001,0.002,8,256,4096,1,1,512,0.6984984565642303,0.6984984565642303
0827T154219Z_gLjwxE,a9a,5,0.001,0.001,4,128,4096,1,1,512,0.779470633156792,0.779470633156792
